证券代码,证券简称,总股本,流通股本,上市日期,所属行业,地区,报告日期
873152,天宏锂电,102650665,68231239,2023-01-19,电气机械和器材制造业,浙江省,2025-05-23
873167,新赣江,70861250,41781867,2023-02-09,医药制造业,江西省,2025-05-23
873169,七丰精工,81745390,50811990,2022-04-15,通用设备制造业,浙江省,2025-05-23
873223,荣亿精密,157285000,81583750,2022-06-09,通用设备制造业,浙江省,2025-05-23
873305,XD九菱科,64867730,36277191,2022-12-21,金属制品业,湖北省,2025-05-23
873339,恒太照明,220203800,150897135,2022-11-17,电气机械和器材制造业,江苏省,2025-05-23
873527,夜光明,60042700,36347987,2022-10-27,化学原料和化学制品制造业,浙江省,2025-05-23
873570,坤博精工,45608929,22389702,2023-11-23,通用设备制造业,浙江省,2025-05-23
873576,天力复合,108950000,107129937,2023-07-12,有色金属冶炼和压延加工业,陕西省,2025-05-23
873593,鼎智科技,134461709,115435912,2023-04-13,电气机械和器材制造业,江苏省,2025-05-23
873665,科强股份,129990000,64071668,2023-09-26,橡胶和塑料制品业,江苏省,2025-05-23
873679,前进科技,55850000,26179250,2023-11-10,通用设备制造业,浙江省,2025-05-23
873690,捷众科技,66300000,30626400,2024-01-05,汽车制造业,浙江省,2025-05-23
873693,阿为特,72700000,36610000,2023-10-27,金属制品业,上海市,2025-05-23
873703,广厦环能,107660000,54475105,2023-12-05,专用设备制造业,北京市,2025-05-23
873706,铁拓机械,92405245,42346870,2024-03-08,专用设备制造业,福建省,2025-05-23
873726,卓兆点胶,82077246,23261756,2023-10-19,专用设备制造业,江苏省,2025-05-23
873806,云星宇,300736667,300736667,2024-01-11,软件和信息技术服务业,北京市,2025-05-23
873833,美心翼申,82360000,62466750,2023-11-08,通用设备制造业,重庆市,2025-05-23
920002,万达轴承,32502120,5750000,2024-05-30,通用设备制造业,江苏省,2025-05-23
920008,成电光信,63750000,33174309,2024-08-29,计算机、通信和其他电子设备制造业,四川省,2025-05-23
920016,中草香料,76981929,26359121,2024-09-13,化学原料和化学制品制造业,安徽省,2025-05-23
920019,铜冠矿建,210266700,55864900,2024-10-11,开采专业及辅助性活动,安徽省,2025-05-23
920029,开发科技,138886667,31793334,2025-03-28,仪器仪表制造业,四川省,2025-05-23
920060,万源通,152044663,63901274,2024-11-19,计算机、通信和其他电子设备制造业,江苏省,2025-05-23
920066,科拜尔,44895233,12181608,2024-10-31,橡胶和塑料制品业,安徽省,2025-05-23
920068,天工股份,646600015,62704261,2025-05-13,有色金属冶炼和压延加工业,江苏省,2025-05-23
920082,方正阀门,145355000,32432415,2024-12-26,通用设备制造业,浙江省,2025-05-23
920088,科力股份,88071500,19950000,2024-10-29,开采专业及辅助性活动,新疆维吾尔自治区,2025-05-23
920098,科隆新材,81320369,43537729,2024-12-05,橡胶和塑料制品业,陕西省,2025-05-23
920099,瑞华技术,78399998,39348280,2024-09-25,专业技术服务业,江苏省,2025-05-23
920106,林泰新材,55828500,16948043,2024-12-18,汽车制造业,江苏省,2025-05-23
920108,宏海科技,123000000,23287750,2025-02-06,电气机械和器材制造业,湖北省,2025-05-23
920111,聚星科技,155154500,36888500,2024-11-11,电气机械和器材制造业,浙江省,2025-05-23
920116,星图测控,159775000,36575000,2025-01-02,软件和信息技术服务业,安徽省,2025-05-23
920118,太湖远大,50896000,21964000,2024-08-22,橡胶和塑料制品业,浙江省,2025-05-23
920128,胜业电气,81190000,20700000,2024-11-29,电气机械和器材制造业,广东省,2025-05-23
920167,同享科技,109706125,65274437,2020-07-27,电气机械和器材制造业,江苏省,2025-05-23
920445,龙竹科技,146930025,105262791,2020-07-27,家具制造业,福建省,2025-05-23
920489,佳先股份,136459200,85653749,2020-07-27,化学原料和化学制品制造业,安徽省,2025-05-23
920682,球冠电缆,324480000,188324422,2020-07-27,电气机械和器材制造业,浙江省,2025-05-23
920799,艾融软件,209780050,117784571,2020-07-27,软件和信息技术服务业,上海市,2025-05-23
920819,颖泰生物,1225800000,1201580000,2020-07-27,化学原料和化学制品制造业,北京市,2025-05-23
